error_message,repair_action
AttributeError: module 'statsmodels.formula.api' has no attribute 'OLS',FQN_RENAME
AttributeError: module 'statsmodels.formula.api' has no attribute 'OLS',FQN_RENAME
AttributeError: module 'statsmodels.formula.api' has no attribute 'OLS',FQN_RENAME
AttributeError: module 'tensorflow.keras.initializers' has no attribute 'HeUniform',FQN_RENAME
AttributeError: module 'tensorflow._api.v2.train' has no attribute 'RMSPropOptimizer',FQN_RENAME
AttributeError: module 'tensorflow._api.v2.train' has no attribute 'AdamOptimizer',FQN_RENAME
AttributeError: module 'seaborn' has no attribute 'tsplot',FQN_RENAME
AttributeError: module 'keras.backend' has no attribute 'tensorflow_backend',FQN_RENAME
AttributeError: module 'statsmodels.formula.api' has no attribute 'OLS',FQN_RENAME
AttributeError: module 'pandas' has no attribute 'TimeGrouper',FQN_RENAME
AttributeError: module 'statsmodels.formula.api' has no attribute 'OLS',FQN_RENAME
AttributeError: module 'statsmodels.formula.api' has no attribute 'OLS',FQN_RENAME
AttributeError: module 'statsmodels.formula.api' has no attribute 'OLS',FQN_RENAME
AttributeError: module 'seaborn' has no attribute 'tsplot',FQN_RENAME
AttributeError: module 'tensorflow_estimator.python.estimator.api._v2.estimator' has no attribute 'inputs',FQN_RENAME
AttributeError: module 'statsmodels.formula.api' has no attribute 'OLS',FQN_RENAME
AttributeError: module 'tensorflow' has no attribute 'set_random_seed',FQN_RENAME
AttributeError: 'Series' object has no attribute 'reshape',FQN_RENAME
AttributeError: module 'keras.backend' has no attribute 'set_image_dim_ordering',FQN_RENAME
AttributeError: module 'keras.backend' has no attribute 'set_image_dim_ordering',FQN_RENAME
AttributeError: module 'keras.backend' has no attribute 'set_image_dim_ordering',FQN_RENAME
AttributeError: module 'keras.backend' has no attribute 'set_image_dim_ordering',FQN_RENAME
AttributeError: module 'keras.backend' has no attribute 'set_image_dim_ordering',FQN_RENAME
AttributeError: module 'keras.backend' has no attribute 'set_image_dim_ordering',FQN_RENAME
AttributeError: module 'keras.utils' has no attribute 'generic_utils',FQN_RENAME
