Order,File_Type,SKU_number,SoldFlag,SoldCount,MarketingType,ReleaseNumber,New_Release_Flag,StrengthFactor,PriceReg,ReleaseYear,ItemCount,LowUserPrice,LowNetPrice
85107,Active,869734,,,S,9,1,1251478.325,92.82,2018,49,11.46,69.08
2,Historical,1737127,0.0,0.0,D,15,1,682743.0,44.99,2015,8,28.97,31.84
35917,Historical,525973,1.0,1.0,S,13,1,159212.0,121.95,2010,25,69.82,29.07
4,Historical,612701,0.0,0.0,D,0,0,340464.0,46.0,2013,34,30.19,27.97
20,Historical,115159,0.0,0.0,D,1,0,909831.0,126.2,2001,33,38.92,44.46
15,Historical,525904,0.0,0.0,D,10,1,1785056.0,104.99,2010,15,4.39,73.89
11,Historical,110568,0.0,0.0,D,11,1,436667.0,119.81,2008,36,63.99,96.92
36,Historical,561829,0.0,0.0,D,12,1,4073832.0,224.95,2003,22,93.99,10.96
9,Historical,484059,0.0,0.0,D,13,1,2314801.0,95.95,2010,33,90.77,46.49
286,Historical,716267,0.0,0.0,D,14,1,882593.0,212.27,2011,16,133.01,428.48
108,Historical,309789,0.0,0.0,D,16,1,983306.0,236.58,2011,24,122.84,288.58
178,Historical,867507,1.0,1.0,D,17,1,553730.0,134.95,2014,16,109.97,63.99
303,Historical,643881,1.0,4.0,D,18,1,1353634.0,261.95,2010,17,86.59,225.5
66,Historical,2407771,0.0,0.0,D,19,1,131131.0,29.5,1996,23,33.31,26.99
7,Historical,863939,1.0,1.0,D,2,1,1287938.0,121.95,2010,28,4.0,23.99
269,Historical,56502,1.0,1.0,D,20,1,33804.0,57.65,2010,58,55.49,40.79
2161,Historical,637912,0.0,0.0,D,21,1,3930702.0,39.95,2002,15,4.02,13.98
3923,Historical,544311,1.0,3.0,D,22,1,168683.0,392.95,2013,49,110.28,150.46
2473,Historical,1458821,0.0,0.0,D,23,1,2320526.0,200.0,2010,31,46.97,159.26
120,Historical,51626,1.0,1.0,D,24,1,400275.0,205.6,2010,51,43.94,69.5
4521,Historical,535385,1.0,5.0,D,25,1,20006.0,357.95,2013,157,222.0,33.88
1749,Historical,527239,0.0,0.0,D,26,1,881557.0,271.8,2013,59,46.97,18.99
