id,year,issue_d,final_d,emp_length_int,home_ownership,home_ownership_cat,income_category,annual_inc,income_cat,loan_amount,term,term_cat,application_type,application_type_cat,purpose,purpose_cat,interest_payments,interest_payment_cat,loan_condition,loan_condition_cat,interest_rate,grade,grade_cat,dti,total_pymnt,total_rec_prncp,recoveries,installment,region
192239,2007,01/12/2007,1072009,10.0,RENT,1,Low,38556,1,20000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,11.22,C,3,14.04,22583.21,20000.0,0.0,656.86,munster
368965,2008,01/12/2008,1072009,0.5,OTHER,4,Low,40000,1,1200, 36 months,1,INDIVIDUAL,1,other,4,Low,1,Good Loan,0,8.0,A,1,7.26,1245.04,1200.0,0.0,37.61,cannught
472744,2009,01/12/2009,1022010,1.0,MORTGAGE,3,Medium,107000,2,1000, 36 months,1,INDIVIDUAL,1,home_improvement,7,Low,1,Good Loan,0,7.4,A,1,0.96,1006.22,1000.0,0.0,31.06,munster
643218,2010,01/12/2010,1122013,7.0,MORTGAGE,3,Low,45000,1,20000, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,9.99,B,2,13.36,24421.72,20000.0,0.0,424.85,ulster
1077501,2011,01/12/2011,1012015,10.0,RENT,1,Low,24000,1,5000, 36 months,1,INDIVIDUAL,1,credit_card,1,Low,1,Good Loan,0,10.65,B,2,27.65,5861.071414,5000.0,0.0,162.87,munster
2828755,2012,01/12/2012,1012016,2.0,RENT,1,Low,26000,1,2000, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,High,2,Good Loan,0,17.27,C,3,25.62,2576.622657,2000.0,0.0,71.58,ulster
10149342,2013,01/12/2013,1012016,10.0,OWN,2,Low,55000,1,27050, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,10.99,B,2,22.87,21251.04,17031.1,0.0,885.46,cannught
38098114,2014,01/12/2014,1012016,10.0,RENT,1,Low,78000,1,15000, 60 months,2,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,12.39,C,3,12.03,4028.0,2309.4,0.0,336.64,leinster
68444620,2015,01/12/2015,1012016,10.0,MORTGAGE,3,Medium,128000,2,35000, 60 months,2,INDIVIDUAL,1,home_improvement,7,Low,1,Good Loan,0,11.99,C,3,6.46,0.0,0.0,0.0,778.38,leinster
233978,2008,01/01/2008,1022011,0.5,OWN,2,Low,31000,1,2500, 36 months,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,Good Loan,0,8.38,A,1,10.61,2835.79,2500.0,0.0,78.78,leinster
