stn_code,sampling_date,state,location,agency,type,so2,no2,rspm,spm,location_monitoring_station,pm2_5,date
1,1/9/2013,Uttar Pradesh,Agra,Central Pollution Control Board,Sensitive Area,2.0,35.0,216.0,,"Taj Mahal, Agra",,2013-09-01
1.0,1/5/1987,Uttar Pradesh,Agra,Central Pollution Control Board,Sensitive,10.9,30.7,,152.0,,,1987-05-01
10,1/2/1987,West Bengal,Howrah,West Bengal Pollution Control Board,Industrial,100.4,105.0,,643.0,,,1987-02-01
100,M011989,Gujarat,Ahmedabad,Gujarat Pollution Control Board,Industrial Area,70.3,67.9,,398.0,,,1989-01-01
10001.0,January - M011994,Tamil Nadu,Madras,TNPC,Industrial Area,138.6,15.8,,0.0,,,1994-01-01
10002.0,January - M011994,Tamil Nadu,Madras,TNPC,Industrial Area,26.9,13.5,,0.0,,,1994-01-01
10003.0,January - M011994,Tamil Nadu,Madras,TNPC,Industrial Area,14.5,15.4,,0.0,,,1994-01-01
101,M011989,Gujarat,Ahmedabad,Gujarat Pollution Control Board,Industrial Area,49.0,115.9,,274.0,,,1989-01-01
102,M011989,Gujarat,Ahmedabad,Gujarat Pollution Control Board,"Residential, Rural and other Areas",74.0,48.3,,339.0,,,1989-01-01
103,M011989,Gujarat,Ahmedabad,Gujarat Pollution Control Board,"Residential, Rural and other Areas",26.7,37.5,,289.0,,,1989-01-01
104.0,M091989,Bihar,Dhanbad,Bihar Pollution Control Board,"Residential, Rural and other Areas",25.7,25.8,,145.0,,,1989-09-01
105.0,M041989,Kerala,Cochin,Kerala Pollution Control Board,Industrial Area,3.1,32.1,,172.0,,,1989-04-01
106.0,M021989,Chandigarh,Chandigarh,Central Pollution Control Board,Industrial Area,16.7,47.8,,196.0,,,1989-02-01
107.0,M021989,Chandigarh,Chandigarh,Central Pollution Control Board,"Residential, Rural and other Areas",7.0,30.2,,194.0,,,1989-02-01
108.0,M021989,Chandigarh,Chandigarh,Central Pollution Control Board,"Residential, Rural and other Areas",16.7,63.0,,,,,1989-02-01
109,1/4/2011,Uttar Pradesh,Lucknow,Uttar Pradesh State Pollution Control Board,"Residential, Rural and other Areas",9.0,34.0,203.0,,"Kapoor Hotel, Hazratganj, Lucknow",,2011-04-01
109.0,M021989,Uttar Pradesh,Lucknow,Uttar Pradesh  Pollution Control Board,,20.5,,,414.0,,,1989-02-01
